jobkat	gender	minority	educ	child	jobtime	salbegin	salary
Clerical	Male	1	4	3	98	16800	35100
Manager	Male	0	4	2	98	27000	57000
Clerical	Male	0	3	2	98	18750	40200
Clerical	Female	0	3	2	98	16500	30300
Clerical	Female	0	2	1	98	12000	21450
Custodial	Female	0	1	1	98	13200	21900
Custodial	Male	0	4	1	98	13500	32100
Clerical	Female	0	2	1	98	13750	21900
Clerical	Female	0	2	1	98	13500	24000
Clerical	Male	0	3	0	98	18750	36000
Custodial	Female	1	2	3	97	9000	16950
Manager	Male	0	4	2	97	27510	103750
Clerical	Male	0	2	1	97	15000	40800
Clerical	Female	0	2	1	97	11550	26250
Clerical	Female	1	4	1	97	11100	24000
Clerical	Male	0	2	0	97	13500	27300
Clerical	Male	0	2	0	97	14250	42300
Custodial	Male	1	2	NA	97	12750	21750
Custodial	Female	1	1	3	96	9000	19200
Manager	Male	0	4	2	96	79980	135000
Clerical	Male	1	2	2	96	11550	23550
Manager	Male	0	4	1	96	45000	110625
Clerical	Male	0	4	1	96	14250	32550
Clerical	Male	0	2	1	96	14250	36150
Clerical	Male	1	3	1	96	15000	31350
Manager	Male	0	4	0	96	27480	60375
Manager	Male	0	4	0	96	39990	92000
Clerical	Male	0	3	0	96	15000	42000
Custodial	Female	0	1	0	96	11250	31350
Clerical	Male	0	2	2	95	14250	23250
Custodial	Male	0	2	1	95	13500	30750
Custodial	Male	0	1	1	95	14250	29250
Clerical	Female	0	2	1	95	16500	30000
Custodial	Male	0	2	2	94	14100	30750
Clerical	Male	0	3	2	94	13500	26850
Clerical	Male	0	3	2	94	15750	33900
Clerical	Male	1	2	2	94	15000	30900
Manager	Male	0	4	1	94	23730	60000
Manager	Male	0	1	1	94	26250	73750
Clerical	Male	0	3	1	94	16500	34800
Clerical	Male	0	3	1	94	15000	45150
Clerical	Male	0	2	1	94	13500	25050
Clerical	Male	0	2	1	94	15000	27000
Clerical	Female	1	3	1	94	14250	28050
Custodial	Male	1	1	1	94	9750	22500
Clerical	Male	0	3	4	93	20250	41100
Manager	Male	0	4	3	93	34980	82500
Clerical	Female	1	2	3	93	14250	24750
Clerical	Female	0	3	2	93	11550	29250
Clerical	Female	0	3	2	93	14550	34800
Clerical	Female	0	2	2	93	10950	24300
Custodial	Female	1	1	2	93	10950	25050
Manager	Male	0	2	1	93	26250	55000
Manager	Male	0	4	1	93	30000	78125
Clerical	Female	0	3	1	93	11550	24150
Manager	Male	0	1	0	93	21000	53125
Manager	Male	0	2	0	93	21240	46000
Manager	Male	0	3	0	93	21480	45250
Custodial	Male	0	1	2	93	14550	21900
Clerical	Female	0	3	0	93	18000	54000
Clerical	Female	0	2	0	93	10500	26400
Clerical	Female	0	2	0	93	11400	27600
Clerical	Female	0	2	0	93	10500	22950
Clerical	Female	0	3	0	93	18000	51000
Clerical	Male	1	2	3	93	11250	22950
Custodial	Male	1	1	4	92	15000	30750
Custodial	Female	0	1	3	92	10200	16950
Manager	Male	0	4	2	92	27480	68750
Clerical	Female	0	2	2	92	10950	25950
Clerical	Female	0	2	2	92	10500	28500
Manager	Male	0	4	1	92	28740	72500
Custodial	Female	0	1	1	92	9750	16200
Clerical	Female	0	2	1	92	11250	20100
Clerical	Female	0	1	1	92	10950	24000
Clerical	Female	0	2	1	92	10050	24600
Clerical	Female	1	2	1	92	10950	22050
Custodial	Male	1	1	3	92	15000	30000
Clerical	Male	1	3	0	92	19500	40200
Custodial	Male	1	2	4	91	15000	30750
Manager	Male	0	1	3	91	27480	78250
Clerical	Male	1	2	3	91	15000	30450
Custodial	Male	1	2	2	91	13000	30750
Clerical	Female	0	2	2	91	11550	21000
Manager	Male	0	3	1	91	22500	60625
Manager	Male	0	4	1	91	29490	91250
Clerical	Male	0	2	1	91	15750	39900
Clerical	Male	1	3	1	91	18000	28350
Custodial	Male	0	4	0	91	35010	97000
Clerical	Male	0	3	0	91	13500	31650
Clerical	Female	0	2	NA	91	14400	25200
Clerical	Male	1	2	2	90	15000	27450
Clerical	Female	1	2	2	90	9750	19650
Manager	Male	0	3	1	90	27480	54875
Clerical	Male	0	2	1	90	16500	37800
Clerical	Female	0	2	1	90	14250	31650
Clerical	Female	0	3	1	90	10500	18750
Clerical	Female	0	3	1	90	16500	38550
Manager	Female	0	3	0	90	19750	37800
Custodial	Male	1	2	0	90	15000	24300
Custodial	Male	1	2	0	90	15000	30750
Clerical	Female	0	2	0	90	18750	31500
Clerical	Female	0	2	0	90	14100	25200
Clerical	Female	0	3	0	90	13500	32550
Clerical	Female	0	2	0	90	15000	33300
Clerical	Male	0	3	2	89	15750	31500
Manager	Male	0	3	1	89	27510	68750
Manager	Female	0	3	1	89	24990	41550
Clerical	Male	0	2	1	89	17250	27300
Clerical	Female	0	2	1	89	10950	26250
Custodial	Male	0	4	0	89	30000	59375
Clerical	Male	0	3	1	89	15750	27000
Clerical	Male	0	2	2	88	15000	22200
Clerical	Female	0	3	2	88	13350	35550
Clerical	Female	0	2	2	88	13950	28500
Custodial	Female	0	3	2	88	9750	16650
Clerical	Female	1	3	2	88	23250	43950
Custodial	Male	0	4	1	88	37500	65000
Clerical	Male	0	3	1	88	21000	45000
Clerical	Female	0	2	1	88	13200	24450
Clerical	Female	0	3	0	88	12750	27900
Clerical	Male	0	2	0	88	15000	30900
Clerical	Female	0	1	0	88	13200	20100
Clerical	Female	0	2	0	88	13500	22350
Clerical	Male	1	2	0	88	13500	26700
Clerical	Male	1	3	0	88	13500	23700
Clerical	Female	1	3	0	88	14250	26550
Clerical	Male	1	3	4	87	15000	35250
Clerical	Female	1	2	3	87	12000	27750
Clerical	Male	0	2	2	87	15000	25800
Clerical	Female	1	3	2	87	9000	21150
Clerical	Male	1	3	2	87	15000	26700
Clerical	Female	1	2	2	87	13050	26550
Clerical	Female	1	3	2	87	12750	25050
Custodial	Male	0	3	1	87	15000	30750
Clerical	Male	0	3	1	87	14250	46000
Clerical	Female	0	3	1	87	15000	38850
Clerical	Male	0	2	1	87	15000	27600
Clerical	Female	0	2	1	87	12000	20850
Custodial	Male	1	3	1	87	16050	26250
Manager	Male	0	3	0	87	26250	42300
Clerical	Female	0	2	0	87	12900	26700
Clerical	Female	0	3	3	86	13500	33300
Clerical	Male	1	2	3	86	14400	25500
Manager	Female	0	3	2	86	17250	46875
